Gender,Name,Age,Hometown,Exited,Season,Status,Entered,City_Pop,Largest_City_Pop,City_Size,Num_Couples,First_Name,Unique_Identifier
M,Grant Crapp,22,Canberra,39,Love Island Australia (Season 1),Winner,1,"356,585","4,627,345",0.07706038776,2,Grant,GrantLove Island Australia (Season 1)
F,Tayla Damir,21,Perth,39,Love Island Australia (Season 1),Winner,1,"1,834,184","4,627,345",0.3963793493,3,Tayla,TaylaLove Island Australia (Season 1)
M,Eden Dally,25,Sydney,39,Love Island Australia (Season 1),Runner-Up,1,"4,293,416","4,627,345",0.9278357244,1,Eden,EdenLove Island Australia (Season 1)
F,Erin Barnett,23,Melbourne,39,Love Island Australia (Season 1),Runner-Up,1,"4,086,734","4,627,345",0.8831703709,1,Erin,ErinLove Island Australia (Season 1)
F,Amelia Plummer,22,Sydney,39,Love Island Australia (Season 1),Third Place,23,"4,293,416","4,627,345",0.9278357244,1,Amelia,AmeliaLove Island Australia (Season 1)
M,Josh Moss,25,Sydney,39,Love Island Australia (Season 1),Third Place,1,"4,293,416","4,627,345",0.9278357244,5,Josh,JoshLove Island Australia (Season 1)
M,Dom Thomas,26,Sydney,38,Love Island Australia (Season 1),Dumped,16,"4,293,416","4,627,345",0.9278357244,3,Dom,DomLove Island Australia (Season 1)
F,Shelby Bilby,25,Toowoomba,38,Love Island Australia (Season 1),Dumped,23,"110,855","4,627,345",0.02395650205,2,Shelby,ShelbyLove Island Australia (Season 1)
M,Mark O'Dare,26,Sydney,37,Love Island Australia (Season 1),Dumped,31,"4,293,416","4,627,345",0.9278357244,1,Mark,MarkLove Island Australia (Season 1)
F,Millie Fuller,24,Sydney,37,Love Island Australia (Season 1),Dumped,1,"4,293,416","4,627,345",0.9278357244,4,Millie,MillieLove Island Australia (Season 1)
M,Edyn 'Mac' Mackney,22,Gold Coast,36,Love Island Australia (Season 1),Dumped,14,"493,425","4,627,345",0.106632421,3,Mac,MacLove Island Australia (Season 1)
M,Teddy Briggs,25,Adelaide,36,Love Island Australia (Season 1),Dumped,21,"1,250,795","4,627,345",0.2703051102,3,Teddy,TeddyLove Island Australia (Season 1)
M,Kory Grant,28,Melbourne,35,Love Island Australia (Season 1),Dumped,31,"4,086,734","4,627,345",0.8831703709,0,Kory,KoryLove Island Australia (Season 1)
M,Jaxon Human,24,Melbourne,30,Love Island Australia (Season 1),Dumped,11,"4,086,734","4,627,345",0.8831703709,3,Jaxon,JaxonLove Island Australia (Season 1)
M,Françoise Draschler,28,Melbourne,26,Love Island Australia (Season 1),Dumped,8,"4,086,734","4,627,345",0.8831703709,3,Françoise,FrançoiseLove Island Australia (Season 1)
F,Cassidy McGill,23,Melbourne,25,Love Island Australia (Season 1),Dumped,1,"4,086,734","4,627,345",0.8831703709,3,Cassidy,CassidyLove Island Australia (Season 1)
M,Elias Chigros,27,Melbourne,18,Love Island Australia (Season 1),Dumped,4,"4,086,734","4,627,345",0.8831703709,2,Elias,EliasLove Island Australia (Season 1)
M,Justin Lacko,27,Melbourne,18,Love Island Australia (Season 1),Dumped,1,"4,086,734","4,627,345",0.8831703709,1,Justin,JustinLove Island Australia (Season 1)
F,Natasha Cherie,24,Perth,15,Love Island Australia (Season 1),Dumped,1,"1,834,184","4,627,345",0.3963793493,2,Natasha,NatashaLove Island Australia (Season 1)
M,John James Parton,32,Melbourne,11,Love Island Australia (Season 1),Walked,4,"4,086,734","4,627,345",0.8831703709,1,John James,John JamesLove Island Australia (Season 1)
F,Kim Hartnett,21,Brisbane,9,Love Island Australia (Season 1),Dumped,2,"2,099,328","4,627,345",0.4536787294,1,Kim,KimLove Island Australia (Season 1)
M,Charlie Taylor,22,Sydney,7,Love Island Australia (Season 1),Dumped,1,"4,293,416","4,627,345",0.9278357244,1,Charlie,CharlieLove Island Australia (Season 1)
M,Mitch Hibberd,25,Melbourne,45,Love Island Australia (Season 3),Winner,3,"4,086,734","4,627,345",0.8831703709,2,Mitch,MitchLove Island Australia (Season 3)
F,Tina Provis,25,Sydney,45,Love Island Australia (Season 3),Winner,1,"4,293,416","4,627,345",0.9278357244,3,Tina,TinaLove Island Australia (Season 3)
M,Aaron Waters,24,Perth,45,Love Island Australia (Season 3),Runner-Up,1,"1,834,184","4,627,345",0.3963793493,3,Aaron,AaronLove Island Australia (Season 3)
F,Jess Velkovski,23,Cronulla,45,Love Island Australia (Season 3),Runner-Up,1,"20,000","4,627,345",0.004322132886,3,Jess,JessLove Island Australia (Season 3)
M,Chris Graudins,25,Gold Coast,45,Love Island Australia (Season 3),Runner-Up,3,"493,425","4,627,345",0.106632421,2,Chris,ChrisLove Island Australia (Season 3)
F,Zoe Clish,25,Gold Coast,45,Love Island Australia (Season 3),Runner-Up,14,"493,425","4,627,345",0.106632421,1,Zoe,ZoeLove Island Australia (Season 3)
F,Courtney Stubbs,23,Gold Coast,43,Love Island Australia (Season 3),Dumped,1,"493,425","4,627,345",0.106632421,4,Courtney,CourtneyLove Island Australia (Season 3)
